818628775;;;;3195940043;;;;
#poses;f;isConstant;;#poses;f;isConstant;;
0;2433.53;0;;0;2433.53;0;;
2;2433.53;0;;0;2433.53;0;;
2;2433.53;0;;0;2433.53;0;;
2;1670.44;0;;1;1667.07;0;;
2;1602.78;0;;2;1545.39;0;;
3;1612.13;0;;2;1572.05;0;;
4;1590.8;0;;2;1546.31;0;;
4;1587.15;0;;3;1541;0;;
5;1590.43;0;;3;1550.52;0;;
5;1585.67;0;;4;1535.51;0;;
6;1594.19;0;;4;1541.73;0;;
6;1593.11;0;;4;1540.19;0;;
7;1595.88;0;;4;1543.33;0;;
7;1595.25;0;;4;1542.68;0;;
8;1596.15;0;;4;1544.03;0;;
8;1595.59;0;;4;1544.13;0;;
9;1597.9;0;;4;1546.48;0;;
9;1597.1;0;;4;1546.66;0;;
9;1599.21;0;;5;1557.39;0;;
9;1601.17;0;;6;1577.98;0;;
9;1599.33;0;;7;1568.41;0;;
10;1599.6;0;;7;1565.61;0;;
11;1597.15;0;;7;1574.88;0;;
12;1598.95;0;;7;1576.06;0;;
13;1602.09;0;;7;1577.47;0;;
13;1601.37;0;;8;1575.77;0;;
13;1600.73;0;;8;1575.84;0;;
14;1597.7;0;;8;1574.01;0;;
14;1598.61;0;;9;1573.29;0;;
14;1598.76;0;;9;1573.73;0;;
15;1597.94;0;;9;1574.34;0;;
15;1597.7;0;;9;1574.22;0;;
16;1597.99;0;;9;1574.88;0;;
17;1597.39;0;;9;1574.65;0;;
18;1595.39;0;;9;1573.99;0;;
18;1595.74;0;;10;1574.55;0;;
19;1595.68;0;;10;1574.86;0;;
